iter	RMSE
790	16567.27002
791	16567.17316
792	16566.68827
793	16565.8739
794	16565.65166
795	16563.78927
796	16563.22355
797	16563.03482
798	16562.75757
799	16560.31489
800	16557.20809
801	16556.75374
802	16556.33056
803	16544.23526
804	16544.04004
805	16543.73271
806	16543.46287
807	16534.45974
808	16534.02165
809	16533.93367
810	16533.57834
811	16531.9967
812	16531.59653
813	16531.49656
814	16512.03515
815	16511.79
816	16511.24117
817	16510.84139
818	16510.51287
819	16509.73218
820	16508.98319
821	16508.90666
822	16508.83139
823	16507.90476
824	16507.63771
825	16502.57308
826	16502.32865
827	16497.93643
828	16492.64393
829	16474.31825
830	16472.23501
831	16471.03239
832	16470.96241
833	16470.78855
834	16470.41873
835	16470.2227
836	16469.83439
837	16469.76476
838	16469.30289
839	16468.84851
840	16468.68031
841	16468.22506
842	16467.2768
843	16465.93414
844	16465.5572
845	16465.44036
846	16465.16096
847	16465.04166
848	16464.55188
849	16455.55969
850	16455.23999
851	16455.12872
852	16454.94583
853	16454.84243
854	16454.7136
855	16448.10045
856	16448.02076
857	16447.55402
858	16447.32443
859	16447.26345
860	16447.11812
861	16426.99358
862	16426.92461
863	16423.57292
864	16423.24196
865	16422.71695
866	16422.29134
867	16421.65485
868	16418.10325
869	16416.97882
870	16416.92519
871	16412.05145
872	16411.62441
873	16411.51861
874	16402.97441
875	16402.74597
876	16402.37814
877	16401.7377
878	16401.33486
879	16399.51373
880	16393.23164
881	16392.91044
882	16386.94009
883	16386.52943
884	16386.02713
885	16380.56075
886	16370.68697
887	16370.42139
888	16370.08677
889	16368.72422
890	16368.13423
891	16368.12854
892	16366.78282
893	16366.24138
894	16363.71053
895	16363.60223
896	16363.28252
897	16359.86913
898	16359.72812
899	16359.68979
900	16359.33749
901	16359.299
902	16358.90177
903	16358.79703
904	16358.66501
905	16353.08403
906	16353.0381
907	16352.89837
908	16348.91288
909	16348.73806
910	16348.70394
911	16348.67049
912	16347.72688
913	16347.59787
914	16347.52429
915	16346.96258
916	16346.92995
917	16346.12359
918	16342.9947
919	16342.17314
920	16341.79206
921	16340.22773
922	16340.22208
923	16335.00299
924	16334.58686
925	16333.08017
926	16331.85707
927	16324.29482
928	16323.88039
929	16323.75733
930	16323.62571
931	16320.11933
932	16319.80967
933	16316.9784
934	16316.85378
935	16312.93695
936	16312.70082
937	16312.64981
938	16312.60979
939	16308.1168
940	16306.08321
941	16303.1295
942	16303.12288
943	16302.9978
944	16302.71677
945	16302.24187
946	16296.58503
947	16296.55718
948	16296.53154
949	16295.34012
950	16289.88584
951	16285.74546
952	16285.21745
953	16285.06681
954	16285.03332
955	16284.92938
956	16284.31152
957	16284.20916
958	16258.81531
959	16238.37065
960	16226.16834
961	16225.98477
962	16225.13845
963	16224.82677
964	16224.77354
965	16221.19659
966	16221.0458
967	16220.89113
968	16220.7161
969	16215.34492
970	16215.25634
971	16215.23432
972	16215.22252
973	16208.93261
974	16208.81548
975	16208.17023
976	16206.64117
977	16206.04728
978	16204.69898
979	16204.34934
980	16204.03927
981	16195.04675
982	16194.90572
983	16194.85015
984	16189.59137
985	16182.80402
986	16182.68145
987	16182.6629
988	16180.25907
989	16179.56165
990	16179.34957
991	16177.17447
992	16177.01558
993	16176.96364
994	16176.17095
995	16175.99144
996	16175.89874
997	16175.60292
998	16175.56845
999	16174.569
